system:index,aoi_id,expected_month_count,max_valid_area_percent,mean_valid_area_percent,min_valid_area_percent,missing_or_invalid_month_count,period_cv_percent,period_label,period_max_monthly_AOI_mean_mol_m2,period_mean_of_monthly_AOI_means_mol_m2,period_median_of_monthly_AOI_means_mol_m2,period_min_monthly_AOI_mean_mol_m2,period_p90_of_monthly_AOI_means_mol_m2,period_stddev_of_monthly_AOI_means_mol_m2,period_type,pollutant,source_month_count,summary_basis,temporal_completeness_fraction,temporal_completeness_percent,valid_month_count,year,.geo
66,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,7.569898317210293,MAM,0.04065289051011915,0.037765489654291655,0.03877257930168937,0.033870999151066436,0.04065289051011915,0.002858809165826451,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,11.974982896293998,JJA,0.04135970724327044,0.0358477568327125,0.03529530608563798,0.030888257169229077,0.04135970724327044,0.004292762749422385,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,6.556502201776089,SON,0.03933721107594516,0.03611766290738511,0.03530626937236643,0.03370950827384376,0.03933721107594516,0.002368055363752771,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,8.804906809982683,ANNUAL,0.04135970724327044,0.03677278649792657,0.0369804242700198,0.030888257169229077,0.04065289051011915,0.0032378095825763287,ANNUAL,CO,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,6.258465160688901,MAM,0.037123544244451044,0.03459428279375446,0.034824117498908645,0.03183518663790369,0.037123544244451044,0.0021650711362373176,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,4.407730084041954,JJA,0.031357581962971386,0.029532084954187104,0.02882496651384946,0.028413706385740457,0.031357581962971386,0.0013016945929705324,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,1.591359172624753,SON,0.028962121247991763,0.028523660435905842,0.02871047289955504,0.027898387160170724,0.028962121247991763,4.5391388671512517E-4,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,10.376802377782589,ANNUAL,0.03750100524314785,0.03175803631873707,0.031305286057520226,0.027898387160170724,0.037123544244451044,0.0032954686678597664,ANNUAL,CO,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,1.589426042861693,MAM,0.03463689996670072,0.033940135550609575,0.03386083398499766,0.03332267270013033,0.03463689996670072,5.394533534239485E-4,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,0.33519312611087737,JJA,0.03524436885914394,0.03510271168158866,0.03510749002936919,0.034956276156252845,0.03524436885914394,1.1766187663520517E-4,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,3.4170947618776744,SON,0.03685600505068526,0.03573753576099353,0.036317911021681866,0.03403869121061349,0.03685600505068526,0.0012211854625130707,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,3.6194120728465187,ANNUAL,0.03685600505068526,0.034601009797312184,0.034606708802879284,0.03186969158473342,0.036317911021681866,0.0012523531259307239,ANNUAL,CO,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,4.036573778492829,MAM,0.037344644899691595,0.035656801022427805,0.035798181321315285,0.03382757684627654,0.037344644899691595,0.0014393130803206837,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,8.617336935298438,JJA,0.03825519207075059,0.03443815362717526,0.034040626909331746,0.031018641901443458,0.03825519207075059,0.0029676517323493925,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,3.9612577671556277,SON,0.035709968522670825,0.03382003905826876,0.03299046399346786,0.0327596846586676,0.035709968522670825,0.0013396989240507383,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,AOI_KRYVYI_RIH,12,100.0,100.0,100.0,0,5.515563718772007,ANNUAL,0.03825519207075059,0.03472627235356832,0.03478700768122693,0.031018641901443458,0.037344644899691595,0.001915349678815368,ANNUAL,CO,12,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,5.1491343259368865,DJF,0.03768051721144893,0.03560856910592015,0.03592279447568816,0.03322239563062335,0.03768051721144893,0.0018335330548078918,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,4.213279163954482,DJF,0.039780377696571306,0.038129005738819687,0.038654579167673175,0.03595206035221457,0.039780377696571306,0.0016064814542166984,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,4.745540752303759,DJF,0.03750100524314785,0.03517970468298003,0.03439235587808573,0.03364575292770653,0.03750100524314785,0.0016694672222709315,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,4.432462809956706,DJF,0.03457651763905785,0.03256639979195345,0.03186969158473342,0.031252990152069074,0.03457651763905785,0.0014434935593201548,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,AOI_KRYVYI_RIH,3,100.0,100.0,100.0,0,1.1718163094686107,DJF,0.0353962717567505,0.03498382943268901,0.03513045717693689,0.03442475936437964,0.0353962717567505,4.0994621896892996E-4,SEASON,CO,3,equal-weight monthly AOI means; invalid/NA months excluded from value statistics and retained in completeness metrics,1.0,100.0,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
